title,type,description,speakers,date,time_start,time_end,length_in_hours,room,event_id,event_url
Techraking <=19: Bootstrapping the News (Sponsored by Reveal from The Center for Investigative Reporting),Outside Event,"Register now!

Give us four hours and your laptop, and we’ll send you into NICAR with a fully-functioning data-crunching machine and the knowledge to use it.

One of the biggest hurdles to learning programming is the often bewildering process of setting up your computer. Veteran programmers and data crunchers from Reveal from The Center for Investigative Reporting will give you a virtual playground on your personal laptop that will allow you to explore all the tools you'll gather throughout the conference. In this four-hour workshop, we’ll introduce crucial programming concepts and tools and -- most importantly -- why we use them.

You’ll walk into conference sessions with a laptop loaded with many of the tools presenters will be talking about, and a leg up as you continue developing your skills once you're back home.

Target audience: People with no or minimal exposure to programming who need a jumping off point to get their feet wet so they are prepared for programming classes at the conference.

Requirements to attend: Laptop with administrative privileges

Minimum technical specifications: Windows: Version 7 or higher; Mac: OS 10.9 (Mavericks) or higher. 4 GB of RAM, 15 GB of free hard-drive space. English layout keyboard strongly preferred. (Other layouts may work, but we've had trouble with certain characters in the past and our ability to provide tech support will be limited.)

Participants will walk away with a fully functioning dev machine (on their personal laptop) that includes: VirtualBox, Ubuntu/Xbuntu, Bower, csvkit, Django, Fabric, Git, Grunt, Ilene, MySQL, Node.js, NPM, PostgreSQL, PostGIS, PANDAS, Python, QuantumGIS, R, RBENV, Rails, Ruby, SQLite, Tabula, virtualenv/virtualenvwrapper

Additional details including the schedule for the workshop can be found on the conference website.

*Basic Schedule:*

*1-5 p.m.*

I. Programming: Why should you care?

II. What we're about to install

III. Installing VirtualBox and Ubuntu

IV. Brief overview of stuff you got with your install

V. Using your new powers

A. Navigating the command line

B. Updating/installing software with apt

C. Working with open-source software

D. Basic version control (git)

E. How to get help

5 p.m. Beer/mingling (Location: TBD)

Register for this workshop.","Michael Corey, Eric Sagara, Scott Pham, Emmanuel Martinez",2017-03-01,13:00,17:00,4.0,River Terrace 1,2702/2897,https://ire.org/events-and-training/event/2702/2897/
Conference registration (Wednesday),Special Event,Registration will be located on the 3rd floor Skybridge of the Hyatt Regency Jacksonville Riverfront.,TBA,2017-03-01,13:00,17:00,4.0,3rd floor - Skybridge,2702/2999,https://ire.org/events-and-training/event/2702/2999/
Gentrification clues: Datasets that predict urban upheaval (Sponsored by Donald W. Reynolds National Center for Business Journalism),Outside Event,"Free pre-conference workshop on Wednesday, March 1 from 2-5 p.m.

Evan Wyloge, senior reporter at AZCIR (the Arizona Center for Investigative Reporting) has spent a decade focusing on accountability and watchdog reporting, with an emphasis on data analysis. In this workshop, he will identify disparate datasets that allow reporters to analyze the evolving economic landscape of metro areas.

Population density, incomes and property values, the overall volume of economic activity, and racial and ethnic diversity are all clues that can help reporters understand the dynamic shift toward a more urbanized population. Wyloge will show you how to navigate surprising databases and mine the key points to develop insightful stories on the future of your community.

This pre-conference workshop is produced by the Donald W. Reynolds National Center for Business Journalism.",Evan Wyloge,2017-03-01,14:00,17:00,3.0,River Terrace 2,2702/2898,https://ire.org/events-and-training/event/2702/2898/
Conference sales (Wednesday),Special Event,,TBA,2017-03-01,15:00,17:00,2.0,3rd floor - Skybridge,2702/3003,https://ire.org/events-and-training/event/2702/3003/
Conference registration (Thursday),Special Event,Registration will be located on the 3rd floor Skybridge of the Hyatt Regency Jacksonville Riverfront.,TBA,2017-03-02,07:30,18:00,10.5,3rd floor - Skybridge,2702/3000,https://ire.org/events-and-training/event/2702/3000/
Conference sales (Thursday),Special Event,,TBA,2017-03-02,08:00,18:00,10.0,3rd floor - Skybridge,2702/3004,https://ire.org/events-and-training/event/2702/3004/
Welcome and overview of the conference,Panel,**Speakers are IRE/NICAR Staff,TBA,2017-03-02,08:30,08:50,0.333,Conference Center B,2702/2896,https://ire.org/events-and-training/event/2702/2896/
Algorithmic accountability,Panel,,TBA,2017-03-02,09:00,10:00,1.0,Conference Center A,2702/3032,https://ire.org/events-and-training/event/2702/3032/
Conversations 1 (Sponsored by SRCCON - Knight Mozilla OpenNews),Special Event,,TBA,2017-03-02,09:00,10:00,1.0,City Terrace 12,2702/2974,https://ire.org/events-and-training/event/2702/2974/
PyCAR (beginner) *pre-registered attendees only,Hands-on,"Ben Welsh, James Gordon and Cheryl Phillips teach you how to conduct and publish a data analysis with the Python programming language, its pandas toolkit and a Jupyter Notebook.

The 6-hour, hands-on tutorial will guide you through an investigation of money in politics using data from the California Civic Data Coalition. You will learn just enough Python to do damage with the powerful pandas data analysis library, the most popular open-source library for working with large data files. You will also learn how to record, remix and republish your analysis using the Jupyter Notebook, a browser-based tool for writing code that is emerging as the standard for sharing reproducible research in the sciences. And most importantly, you will see how these tools can increase the speed and veracity of your journalism.

Although the class is geared toward beginners, we'll assume that you're comfortable with databases and SQL and that you've hopefully seen a command line since the days of DOS. Preregistration is required and seating is limited. Laptops will be provided for the training.

Workshop prerequisites: Attendees should have familiarity with the command line and are comfortable with databases and SQL.

Workshop times are Thursday 9 a.m. - 12:30 p.m. continuing Friday morning from 9 a.m. - 12:30 p.m. (Note: Registration for this session reserves your seat for both days of this workshop.  Attendees are expected to attend both session to complete this workshop).

NOTE: Registration is required for this session. Click here to sign up.","Heather Battaglia, Adriana Homolova, Tom Meagher, Roberto Rocha, Eric Sagara, Chris Keller, Elaine Wong",2017-03-02,09:00,12:30,3.5,City Terrace 7,2702/2878,https://ire.org/events-and-training/event/2702/2878/
